winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Grifo,Nero di Troia Collezione Privata 2017,Italy,Puglia,4,78,https://www.vivino.com/grifo-nero-di-troia-collezione-privata/w/6877929?year=2017&price_id=21644409
Château Fayau,Bordeaux Rouge 2016,France,Bordeaux,4,26,https://www.vivino.com/chateau-fayau-bordeaux-rouge/w/2078480?year=2016&price_id=21348816
19 Crimes,Red (Shiraz - Grenache - Mataro) 2018,Australia,Victoria,3.9,6736,https://www.vivino.com/treasury-wine-red-shiraz-grenache-mataro/w/2316699?year=2018&price_id=21646856
Casa Silva,Reserva Cuvée Colchagua Merlot 2018,Chile,Colchagua Valley,3.9,234,https://www.vivino.com/casa-silva-reserva-cuvee-colchagua-merlot/w/2122955?year=2018&price_id=20765930
Château Fayau,Bordeaux Supérieur 2016,France,Bordeaux Supérieur,3.9,51,https://www.vivino.com/chateau-fayau-bordeaux-superieur/w/1433225?year=2016&price_id=20515254
Château Les Croisille,Le Croizillon Malbec Cahors 2017,France,Cahors,3.8,239,https://www.vivino.com/croisille-le-croizillon-malbec-cahors/w/2561916?year=2017&price_id=18759284
19 Crimes,Cabernet Sauvignon 2018,Australia,Victoria,3.7,2488,https://www.vivino.com/treasury-wine-cabernet-sauvignon-victoria-red-wine-v/w/3736213?year=2018&price_id=21648618
Famille Perrin,Côtes-du-Rhône Réserve Rouge 2017,France,Côtes-du-Rhône,3.7,2176,https://www.vivino.com/famille-perrin-cotes-du-rhone-reserve-rouge/w/1124242?year=2017&price_id=20536976
Casa Silva,Reserva Cuvée Colchagua Cabernet Sauvignon 2018,Chile,Colchagua Valley,3.7,659,https://www.vivino.com/casa-silva-reserva-cuvee-colchagua-cabernet-sauvignon/w/1505305?year=2018&price_id=20765927
Jip Jip Rocks,Shiraz 2017,Australia,Padthaway,3.7,517,https://www.vivino.com/morambo-creek-vineyard-shiraz/w/1108002?year=2017&price_id=20765918
Domaine de l'Hortus,Le Loup dans la Bergerie 2018,France,Saint-Guilhem-le-Desert,3.7,502,https://www.vivino.com/fr-domaine-de-lhortus-le-loup-dans-la-bergerie/w/1251478?year=2018&price_id=19880567
Xavier Vignon,Côtes du Rhône 2017,France,Côtes-du-Rhône,3.7,237,https://www.vivino.com/xavier-vignon-cotes-du-rhone/w/1189529?year=2017&price_id=20907563
Castello del Trebbio,Chianti Superiore 2018,Italy,Chianti,3.7,100,https://www.vivino.com/castello-del-trebbio-chianti-superiore/w/4292789?year=2018&price_id=21020971
Oyster Bay,Merlot 2018,New Zealand,Hawke's Bay,3.6,546,https://www.vivino.com/oyster-bay-merlot/w/1235018?year=2018&price_id=20492110
Saint Clair,Vicar's Choice Pinot Noir 2018,New Zealand,Marlborough,3.6,205,https://www.vivino.com/saint-clair-vicar-s-choice-pinot-noir/w/1100200?year=2018&price_id=20765932
Velenosi,Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,3.6,195,https://www.vivino.com/velenosi-montepulciano-d-abruzzo/w/1164751?year=2018&price_id=20907568
Famille Perrin,Ventoux 2018,France,Ventoux,3.6,163,https://www.vivino.com/famille-perrin-ventoux/w/1519273?year=2018&price_id=21189211
Château du Grand Plantier,Côtes de Bordeaux 2016,France,Côtes de Bordeaux,3.6,37,https://www.vivino.com/chateau-du-grand-plantier-cotes-de-bordeaux/w/1500405?year=2016&price_id=11629192
Cono Sur,Bicicleta Carmenère 2014,Chile,Central Valley,3.5,1425,https://www.vivino.com/cono-sur-bicicleta-carmenere/w/1398911?year=2014&price_id=12505160
Foncalieu,Le Versant Pinot Noir 2018,France,Pays d'Oc,3.5,365,https://www.vivino.com/foncalieu-le-versant-pinot-noir/w/1239965?year=2018&price_id=19761612
Velenosi,Querciantica Lacrima di Morro 2018,Italy,Lacrima di Morro d'Alba,3.5,228,https://www.vivino.com/velenosi-querciantica-lacrima-di-morro/w/1165623?year=2018&price_id=20765879
Tenuta Sette Ponti,Vigna di Pallino Chianti 2016,Italy,Chianti,3.5,165,https://www.vivino.com/tenuta-sette-ponti-vigna-di-pallino-chianti/w/19226?year=2016&price_id=20765872
