winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
St. Urbans-Hof,Nik Weis Selection Urban Riesling 2018,Germany,Mosel,4.2,2894,https://www.vivino.com/weingut-st-urbans-hof-nik-weis-selection-urban-riesling/w/1194863?year=2018&price_id=19940994
Simon Bize & Fils,Bourgogne 'Les Champlains' 2014,France,Bourgogne,4.2,50,https://www.vivino.com/simon-bize-and-fils-bourgogne-les-champlains/w/1268313?year=2014&price_id=21620940
Oyster Bay,Sauvignon Blanc 2019,New Zealand,Marlborough,4.0,3212,https://www.vivino.com/oyster-bay-sauvignon-blanc/w/9530?year=2019&price_id=20716909
Argiolas,Is Argiolas Vermentino di Sardegna 2018,Italy,Vermentino di Sardegna,4.0,882,https://www.vivino.com/argiolas-is-argiolas-vermentino-di-sardegna/w/1504045?year=2018&price_id=20765894
Christian Moreau Pere & Fils,Chablis 2017,France,Chablis,4.0,504,https://www.vivino.com/domaine-christian-moreau-pere-and-fils-chablis/w/86747?year=2017&price_id=20765840
Dr. Hermann,H Riesling 2018,Germany,Mosel,3.9,33,https://www.vivino.com/weingut-dr-hermann-h-riesling/w/1107944?year=2018&price_id=20545194
Vetus,Flor de Vetus Verdejo 2018,Spain,Rueda,3.9,532,https://www.vivino.com/grupo-artevino-flor-de-vetus-verdejo/w/1254309?year=2018&price_id=20961371
Whale’s Tale,Sauvignon Blanc 2019,New Zealand,Marlborough,3.9,273,https://www.vivino.com/whales-tale-sauvignon-blanc/w/1594541?year=2019&price_id=21514181
St. Urbans-Hof,White Label Nik Weis Riesling 2018,Germany,Mosel,3.9,257,https://www.vivino.com/weingut-st-urbans-hof-white-label-nik-weis-riesling-mosel-saar-ruwer-white-wine/w/5964702?year=2018&price_id=19944707
Château Turcaud,Entre-Deux-Mers Blanc 2014,France,Entre-deux-Mers,3.9,168,https://www.vivino.com/turcaud-entre-deux-mers-blanc/w/1226576?year=2014&price_id=12642908
Bastianich,Orsone Sauvignon 2018,Italy,Colli Orientali del Friuli,3.9,112,https://www.vivino.com/bastianich-orsone-sauvignon/w/1180984?year=2018&price_id=21189788
Vinosia,L'Ariella Greco di Tufo 2018,Italy,Greco di Tufo,3.9,108,https://www.vivino.com/vinosia-l-ariella-greco-di-tufo/w/1774898?year=2018&price_id=19349677
Villa M,Bianco N.V.,Italy,Piemonte,3.9,775,https://www.vivino.com/villa-m-bianco/w/1774733?year=N.V.&price_id=20765856
Huarpe,Taymente Chardonnay 2017,Argentina,Lujan de Cuyo,3.9,42,https://www.vivino.com/huarpe-taymente-chardonnay/w/1190186?year=2017&price_id=21189990
Saint Clair,Vicar's Choice Sauvignon Blanc 2019,New Zealand,Marlborough,3.9,61,https://www.vivino.com/saint-clair-vicar-s-choice-sauvignon-blanc/w/1100196?year=2019&price_id=21142641
Marques de Casa Concha,Chardonnay 2015,Chile,Limarí Valley,3.8,1208,https://www.vivino.com/marques-de-casa-concha-chardonnay/w/20726?year=2015&price_id=12146554
Argiolas,Costamolino Vermentino di Sardegna 2018,Italy,Vermentino di Sardegna,3.8,1204,https://www.vivino.com/argiolas-costamolino-vermentino-di-sardegna/w/82192?year=2018&price_id=20765893
