winery,winename,country,region,rating,numberOfRatings
Ramón Bilbao,Crianza Rioja 2016,Spain,Spain,3.9,10930
Matsu,El Picaro 2019,Spain,Spain,3.9,656
Palacios Remondo,Rioja La Vendimia 2018,Spain,Spain,3.9,313
Tridente,Entresuelos Tempranillo 2016,Spain,Spain,3.9,178
Altos Ibéricos,Crianza 2016,Spain,Spain,3.8,2307
Proyecto Garnachas de España,La Garnacha Salvaje del Moncayo 2017,Spain,Spain,3.8,446
Martúe,Campo de la Guardia 2016,Spain,Spain,3.8,356
Singulares,El Veïnat Garnatxa Montsant 2018,Spain,Spain,3.8,109
Nativ,Aglianico Campania Rue Dell'Inchiostro 2018,Italy,Italy,3.8,75
Honoro Vera,Garnacha 2018,Spain,Spain,3.7,1407
Lan,Crianza Rioja 2016,Spain,Spain,3.7,1499
Arzuaga,La Planta 2018,Spain,Spain,3.7,1473
Kaiken,Malbec 2017,Argentina,Argentina,3.7,3166
Juan Gil,Jumilla Yellow Label 2018,Spain,Spain,3.7,797
Finca Torremilanos,Montecastrillo Tinto 2018,Spain,Spain,3.7,470
Castell del Remei,Costers Del Segre Gotim Bru 2017,Spain,Spain,3.7,418
Alfredo Maestro,Almate 2018,Spain,Spain,3.7,373
Habla,de La Tierra 2018,Spain,Spain,3.7,361
Atalaya,Laya 2019,Spain,Spain,3.7,331
Viña Zorzal,Graciano 2017,Spain,Spain,3.7,211
Bodegas Palacio,Glorioso Rioja Crianza 2016,Spain,Spain,3.7,202
Risky Grapes,La Traca Bobal 2018,Spain,Spain,3.7,130
Aldonia,Vendimia 2017,Spain,Spain,3.7,102
Solabal,Rioja Crianza 2016,Spain,Spain,3.7,88
El Regajal,Las Retamas del Regajal 2017,Spain,Spain,3.7,53
Torre de Oña,Finca San Martin Rioja Crianza 2017,Spain,Spain,3.7,43
Enate,Tinto 2015,Spain,Spain,3.7,34
Enate,Cabernet Sauvignon - Merlot 2017,Spain,Spain,3.6,236
Bodegas Faustino,Crianza 2016,Spain,Spain,3.6,2639
Hacienda López de Haro,Crianza 2016,Spain,Spain,3.6,2101
Marqués de Riscal,Arienzo Rioja Crianza 2016,Spain,Spain,3.6,1036
Legaris,Ribera del Duero Roble 2018,Spain,Spain,3.6,801
Dominio de Eguren,Protocolo Tinto 2017,Spain,Spain,3.6,712
Marques de Vitoria,Rioja Crianza 2016,Spain,Spain,3.6,516
Hacienda López de Haro,Crianza 2017,Spain,Spain,3.6,507
Iovine,Gragnano N.V.,Italy,Italy,3.6,447
Kaiken,Cabernet Sauvignon 2018,Argentina,Argentina,3.6,353
Cune (CVNE),Crianza 2016,Spain,Spain,3.6,4715
Bodegas Valdemar,Valdemoreda Tempranillo 2016,Spain,Spain,3.6,235
Castillo Perelada,Empordà Cigonyes Tinto 2016,Spain,Spain,3.6,159
Castillo de Monjardin,Coupage Selección Crianza 2016,Spain,Spain,3.6,156
Altanza,Rioja Crianza Edulis 2016,Spain,Spain,3.6,148
Martí Fabra,L'Oratori Empordà 2018,Spain,Spain,3.6,86
Castillo Perelada,Empordà Cigonyes Tinto 2017,Spain,Spain,3.6,85
